2026-05-29 09:17:39,835 | INFO | database | Marked attendance for EG2020005 (Eve) session=morning
2026-05-29 09:17:39,837 | INFO | database | Exported 1 rows to C:\Users\pavit\AppData\Local\Temp\pytest-of-pavit\pytest-6\test_export_to_csv_creates_fil0\csv\attendance_2026-05-29.csv
2026-05-29 09:18:54,643 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:18:54,643 | INFO | main | VisionGate started
2026-05-29 09:18:57,476 | INFO | main | Menu selection: 2 — Start Attendance Session
2026-05-29 09:18:59,902 | INFO | database | Database initialised at C:\Projects\VisionGate\data\attendance.db
2026-05-29 09:19:00,321 | INFO | recognize | Loaded LBPH model from C:\Projects\VisionGate\data\encodings\lbph_model.yml
2026-05-29 09:19:00,322 | INFO | recognize | Startup: 1 enrolled student(s), 106 total encoding(s), LBPH=loaded
2026-05-29 09:19:00,322 | INFO | recognize | Recognition session: 2026-05-29_09-00
2026-05-29 09:19:00,400 | INFO | anti_spoof | Downloading dlib 68-point landmark model to C:\Projects\VisionGate\models\shape_predictor_68_face_landmarks.dat.bz2
2026-05-29 09:20:23,115 | INFO | anti_spoof | Extracting C:\Projects\VisionGate\models\shape_predictor_68_face_landmarks.dat.bz2
2026-05-29 09:20:29,876 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:30,316 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:30,753 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:31,250 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:31,719 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:32,173 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:32,621 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:33,101 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:33,585 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:34,111 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:34,638 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:35,121 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:35,571 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:36,048 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:36,520 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:37,036 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:37,530 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:37,959 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:38,398 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:38,812 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:39,237 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:39,678 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:40,113 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:40,553 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:41,020 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:41,446 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:41,864 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:42,352 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:42,841 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:43,299 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:43,732 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:44,156 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:44,602 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:45,033 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:45,465 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:45,931 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:46,368 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:46,806 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:47,244 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:47,726 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:48,241 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:48,742 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:49,190 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:49,606 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:50,030 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:50,463 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:50,901 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:51,320 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:51,744 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:52,209 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:52,621 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:53,126 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:53,625 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:54,131 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:54,569 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:54,994 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:55,436 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:55,878 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:56,314 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:56,753 | WARNING | anti_spoof | No blink detected in last 60 frames — possible spoof
2026-05-29 09:20:56,754 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:57,233 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:57,667 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:58,102 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:58,539 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:59,031 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:20:59,546 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:00,039 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:00,502 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:00,922 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:01,369 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:01,836 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:02,275 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:02,718 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:03,184 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:03,627 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:04,040 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:04,540 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:05,016 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
2026-05-29 09:21:05,534 | WARNING | recognize | Spoof / no-blink detected for Pavith Adeesha
